class,sentence
3,I am so sorry for your circumstances
0,Right now  this psych appt
6,Doc just told me to stop taking it  cause the does is so low  it most likely is not helping my pain at all
7,Thankyou for caring enough too reply
7,You don\'t need to live unhappy
7,'TeresaI just wanted to say that it is great to see/typing a smile
7,In time  I even realised that I was good at customer service and I did stints on the reception/helpdesk and helping people with problems was really rewarding too -- never very big problems  and nice to feel I could solve little things
5,Being new to these symptoms it\'s not at all uncommon for you to feel very panicky and nervous  but be assured millions before you have been there and returned  and so will you if you employ the coping mechanisms suggested by those who\'ve used them successfully  and if you get in touch with a knowlegable doctor who can prescribe themedication that will help right your ship
2,All my family seem to do is shout alot and often use violence to solve their problems
2,That is absolutely horrible
5,I ask her  So  last week you told me that you had stopped taking your medication without talking to anyone aboutit for four days
3,Now I'm working on two major projects personally  but it just feels so lonely sometimes
1,MANY of us have gone through a LOT  Also  but I don't think many use it as an excuse to act like a total *****
3,I suffer from Depression and am on Prozac  when i go off I get emotionally down
5,I tell my b/f that at least I am not a mean drunk I just tell him I love him a million times
1,People look at me like they don't know why i would be depressed since i dont live with him anymore but he is my father
0,I have a feeling my son will be buying me a table saw or giving me a gift card from Lowe's that I can use toward getting one for myself
1,Try to ignore your husband if you can
3,I cant focus  i'm dizzy  I just want to sleep (and end up falling asleep if I dont keep moving)
3,)  I would love to go snowboarding  but I don't own a board and lift tickets are way too pricey
7,That is why I sought help for myself to keep my sanity and understand why depressed people do what they do
3,'Hey GemsHi Sweetie  I am sorry your having this problem
6,so i\'ve started writing in a journal when i feel sad/cry
1,It's hard to trust anyone  i still have some walls up  and he's slowly removing them bit at a time
7,You are not only caring and a lovely person your beautiful inside and out
1,You either should take them or not
4,As my therapist told me : On an airplane  they tell you in case of emergency Affix oxygen mask to self first  then assist child/others   This really stuck with me because if you don\'t take care of YOURSELF  you can\'t help others
1,So  I've bannished this nurse from my site  banned her from ever treating me ever again  put in a complaint against her
1,You are the only one that answered anything
5,someone please help me
5,I dont like not feeling like I'm in total control of myself
4,'Hi AngMichelle  I wish things were better for you
0,I\'ll be checking in to see how this scenario plays out
3,Don't get me wrong  we are still suffering the consequences of that failed business and will for at least a couple more years (it's been 4 already)
7,Wishing everyone a happy day  Derwood
1,I don't think he should go off them  but I don't know
6,So I understand the pain and fatigue
5,I am scared toopen up to him
6,But if he wants space  then that is what he needs
2,There are crisis linesopen 24/7 and you are definitely crisis material
7,'Hi Gem  I just wanted to lend my love and support to you also
6,But over time I felt safe enough to share  learn and most of all recognize I was not alone
7,Thank you for sharing
2,It isn't easy when you have to try a few before you find what works
6,I think that Kitt gave you some good resources and advice
7,I go on a regular basis and I really enjoy it
0,I seem to have trouble with both of them this year
0,I hope for a better year for all of us
3,My mom caused alot of my depression so I can relate to that too
1,I feel like I work harder than he does
0,Try to forget him and move on
1,My doctor switched me off Effexor because of unbearable constipation  before that I gained 20 lbs in 2 months on Zoloft  before that constipation on Cymbalta
7,And yet going back to school is my dream
3,I feel bad for your depression
1,Right now he does not know either
6,I am so new to depression that I really am struggling to offer good advice  but you know if you can manage to get the right treatment and support  life can be so good
2,I\'ve had a few dates since then  but guys never call me again because I repulse them with my giant hideous ugliness
0,I hope that you feel better soon
7,Have a good dayhugs  Karen
6,You help me now as I help you
6,I believe your depression is aboutthe losses in your life and you have had a major loss with the death of your daughter
7,It is uplifting to read that you are in agreement with me
6,Hi Angel We don't know each other  but I've read quite a few of your recent posts
1,We've had this discussion many times over the years and it always comes down to her not wanting to start from the beginning to figure out her issues in her head
7,That's great famous that your family has been so supportive of you
3,Most of us often discover it wasn\'t whatwe wanted at all and are extremely unhappy inour jobs
3,this isn't like me :(
2,Believe me though it was no picnic
1,There are alot of people that struggle and if you do not have insurance then what can you do
2,If you eat that med just to numb your heart  than that's definitely not the right medication
3,however I asked him a couple days later if he would like to hang out again and he says that he thought aboutit long and hard and thinks that the fact that I don't eat meat (i'm a pescatarian  i only eat fish) would get on his nerves and we shouldn't bother
3,Hugs  KarenPS I hate when I lose a post
3,In cosmopolitan areas  like NYC  a lot of singles work on their careers for several years  and don't get down to serious dating until much later than areas that are more suburban
3,My husband thinks he suffers from depression  however  I\'m not sure that\'s what it is
4,Alot of women and men have fallen into the if I try they will change routine
3,She\'s just not thinking clearly and I\'m the one person she will not listen to
6,Even doing this is hard  but I dont want to hurt my marriage
1,It could be a sense of guilt that is causing her to push you away
2,Thats why the pain in my gut is so bad and inescapableI wish everyone much love
2,and i feel so dumb when i say it is too hard  because i know that you have to work for the things you want
6,I am so sorry things are so bad for you right now
4,There is one other guy i like  i met him on a plane  the kind of stuff that only happens in movies
3,I still have this horrible feeling inside all the time and I feel like a part of me is numb from feeling so bad
5,And then feeling good is scary
3,I honestly never thought abouthow my actions effected him
7,You\'re a smart girl  Angie
1,taking a persons pet is a rotten   selfish thing to do   made even worse because I live alone   have health problems   and most importantly   I adore my Lupin
3,My friend said that I have no energy because of the depression and no ammount of ritalin will help until I get undepressed
0,I'm saying that it's our positive emotions  not our thoughts and beliefs  that give us a positive outlook on life
7,She is very lucky to have someone that is concerned and willing to help
6,Well hi everyone  I'm guessing I may be pretty young compared to most on here  I'm 15 years young :) my name's amy and i live with my mum
5,but the idea of a job REALLY scares me
0,Yes  I can be cordial with her
6,Well  that's my story  please if you have any advice post  i am willing to try anything  thank you
1,Question-after he cools his jets in a month or so should I ask for my son's things back
7,Making the bed everyday was a positive step for me and it helped
6,The most important thing is being honest with your counselor or therapist abouthow you feel
0,Hang in there  it will get better
3,it made feel more depressed and very suicidal was only on it for 5 weeks
7,I feel that I have a good pdoc and therapist
1,So much for blood being thicker than water
3,i will just have to ride it through
3,Due to these irregular sleeping issues  I'm also getting headaches
3,You feel completely helpless
1,That\'s not what I said
